scenario_id,timestamp,zone,gas_level,temperature,pressure,ventilation,hot_work,maintenance,confined_space_entry,environmental_risk_score,incident_type,risk_score,confidence_score,time_to_escalation,risk_factors,recommended_actions
5102,2026-07-19 01:05:00,Zone A,67.52,49.15,51.18,29.19,0,0,1,59.66,Toxic Exposure,90.0,90,12 Minutes,"[""High Gas Levels"", ""Reduced Ventilation"", ""Confined Space Entry Active""]","[""Evacuation of non-essential personnel from Zone"", ""Increase ventilation systems to maximum output (100%)"", ""Trigger alarm lights outside confined space entryway"", ""Retrieve entry crew using harness recovery systems"", ""Deploy auxiliary ventilation blowers""]"
5103,2026-07-19 01:10:00,Zone B,0.97,43.65,46.59,80.83,1,0,0,27.6,Safe,32.6,50,3 Hours 16 Minutes,"[""Active Hot Work Permit""]","[""Automated trip of active hot work power lines""]"
5104,2026-07-19 01:15:00,Zone B,11.18,43.65,44.14,92.98,1,0,0,26.5,Safe,31.5,50,2 Hours 22 Minutes,"[""Active Hot Work Permit""]","[""Automated trip of active hot work power lines""]"
5105,2026-07-19 01:20:00,Zone C,4.13,28.47,41.79,90.0,0,0,0,21.1,Safe,21.1,50,4+ Hours,[],"[""No immediate mitigation required. Continue routine monitoring.""]"
5106,2026-07-19 01:25:00,Zone C,6.95,24.79,23.23,44.63,0,0,1,27.59,Safe,32.59,50,2 Hours 29 Minutes,"[""Confined Space Entry Active""]","[""Trigger alarm lights outside confined space entryway""]"
5107,2026-07-19 01:30:00,Zone B,10.67,94.63,91.0,95.11,0,1,0,50.3,Explosion,100.0,90,27 Minutes,"[""High Temperature"", ""High Pressure"", ""Active Maintenance Activity""]","[""Emergency relief valve activation"", ""Immediate suspension of active maintenance permits in Zone"", ""Emergency cooling line engagement""]"
5108,2026-07-19 01:35:00,Zone B,7.08,27.36,44.95,54.72,0,0,0,31.17,Safe,31.17,50,3 Hours 28 Minutes,[],"[""No immediate mitigation required. Continue routine monitoring.""]"
5109,2026-07-19 01:40:00,Zone B,24.76,37.6,33.69,88.67,0,0,0,26.85,Safe,26.85,50,4+ Hours,[],"[""No immediate mitigation required. Continue routine monitoring.""]"
5110,2026-07-19 01:45:00,Zone B,9.02,43.68,64.19,72.39,0,0,0,36.12,Safe,36.12,50,2 Hours 5 Minutes,[],"[""No immediate mitigation required. Continue routine monitoring.""]"
5111,2026-07-19 01:50:00,Zone A,59.5,47.22,51.78,29.0,1,0,1,57.37,Toxic Exposure,90.0,90,21 Minutes,"[""Reduced Ventilation"", ""Active Hot Work Permit"", ""Confined Space Entry Active""]","[""Automated trip of active hot work power lines"", ""Increase ventilation systems to maximum output (100%)"", ""Trigger alarm lights outside confined space entryway"", ""Retrieve entry crew using harness recovery systems"", ""Deploy auxiliary ventilation blowers""]"
5112,2026-07-19 01:55:00,Zone B,4.8,53.98,49.66,31.74,0,0,0,44.18,Safe,44.18,50,2 Hours 14 Minutes,[],"[""No immediate mitigation required. Continue routine monitoring.""]"
5113,2026-07-19 02:00:00,Zone C,95.12,0.0,57.11,69.25,1,0,0,45.75,Gas Ignition,85.75,85,26 Minutes,"[""High Gas Levels"", ""Active Hot Work Permit""]","[""Automated trip of active hot work power lines"", ""Evacuation of non-essential personnel from Zone""]"
5114,2026-07-19 02:05:00,Zone C,8.79,30.94,55.36,93.48,0,0,0,25.4,Safe,25.4,50,4+ Hours,[],"[""No immediate mitigation required. Continue routine monitoring.""]"
5115,2026-07-19 02:10:00,Zone B,27.6,66.6,65.12,87.23,0,0,0,43.02,Safe,43.02,50,3 Hours 13 Minutes,[],"[""No immediate mitigation required. Continue routine monitoring.""]"
5116,2026-07-19 02:15:00,Zone C,4.03,53.56,62.79,65.79,0,0,0,38.65,Safe,38.65,50,2 Hours 6 Minutes,[],"[""No immediate mitigation required. Continue routine monitoring.""]"
5117,2026-07-19 02:20:00,Zone C,14.29,72.91,80.89,80.62,0,1,0,46.87,Explosion,96.87,85,22 Minutes,"[""High Pressure"", ""Active Maintenance Activity""]","[""Emergency relief valve activation"", ""Immediate suspension of active maintenance permits in Zone""]"
5118,2026-07-19 02:25:00,Zone C,22.73,41.29,50.71,37.62,0,0,0,44.28,Safe,44.28,50,2 Hours 5 Minutes,[],"[""No immediate mitigation required. Continue routine monitoring.""]"
5119,2026-07-19 02:30:00,Zone A,85.52,42.76,48.76,55.92,1,0,0,55.28,Gas Ignition,95.0,85,29 Minutes,"[""High Gas Levels"", ""Active Hot Work Permit""]","[""Automated trip of active hot work power lines"", ""Evacuation of non-essential personnel from Zone""]"
5120,2026-07-19 02:35:00,Zone A,5.62,26.55,64.85,49.63,0,0,0,36.85,Safe,36.85,50,3 Hours 4 Minutes,[],"[""No immediate mitigation required. Continue routine monitoring.""]"
5121,2026-07-19 02:40:00,Zone A,18.12,57.45,18.87,40.44,0,0,1,38.5,Safe,43.5,50,2 Hours 9 Minutes,"[""Confined Space Entry Active""]","[""Trigger alarm lights outside confined space entryway""]"
5122,2026-07-19 02:45:00,Zone C,14.46,81.52,89.13,89.99,0,1,0,48.78,Explosion,98.78,90,18 Minutes,"[""High Temperature"", ""High Pressure"", ""Active Maintenance Activity""]","[""Emergency relief valve activation"", ""Immediate suspension of active maintenance permits in Zone"", ""Emergency cooling line engagement""]"
5123,2026-07-19 02:50:00,Zone B,3.02,60.01,68.94,68.36,0,0,0,40.9,Safe,40.9,50,3 Hours 12 Minutes,[],"[""No immediate mitigation required. Continue routine monitoring.""]"
5124,2026-07-19 02:55:00,Zone C,5.14,18.42,35.14,86.02,0,0,0,18.17,Safe,18.17,50,4+ Hours,[],"[""No immediate mitigation required. Continue routine monitoring.""]"
5125,2026-07-19 03:00:00,Zone B,6.74,34.73,71.45,84.94,0,0,1,32.0,Safe,37.0,50,2 Hours 12 Minutes,"[""Confined Space Entry Active""]","[""Trigger alarm lights outside confined space entryway""]"
5126,2026-07-19 03:05:00,Zone A,93.02,63.84,29.14,25.36,0,0,1,65.16,Toxic Exposure,90.0,90,12 Minutes,"[""High Gas Levels"", ""Reduced Ventilation"", ""Confined Space Entry Active""]","[""Evacuation of non-essential personnel from Zone"", ""Increase ventilation systems to maximum output (100%)"", ""Trigger alarm lights outside confined space entryway"", ""Retrieve entry crew using harness recovery systems"", ""Deploy auxiliary ventilation blowers""]"
5127,2026-07-19 03:10:00,Zone B,12.24,45.67,56.82,72.71,0,0,0,35.51,Safe,35.51,50,3 Hours 20 Minutes,[],"[""No immediate mitigation required. Continue routine monitoring.""]"
5128,2026-07-19 03:15:00,Zone C,3.47,61.8,73.05,93.97,0,0,0,36.09,Safe,36.09,50,2 Hours 41 Minutes,[],"[""No immediate mitigation required. Continue routine monitoring.""]"
5129,2026-07-19 03:20:00,Zone C,71.23,50.55,45.83,86.5,1,0,0,45.28,Gas Ignition,85.28,85,11 Minutes,"[""High Gas Levels"", ""Active Hot Work Permit""]","[""Automated trip of active hot work power lines"", ""Evacuation of non-essential personnel from Zone""]"
5130,2026-07-19 03:25:00,Zone A,62.78,14.5,7.59,84.28,1,0,0,25.15,Gas Ignition,75.0,65,60 Minutes,"[""Active Hot Work Permit""]","[""Automated trip of active hot work power lines""]"
5131,2026-07-19 03:30:00,Zone B,2.27,59.23,27.86,89.86,0,0,0,24.87,Safe,24.87,50,4+ Hours,[],"[""No immediate mitigation required. Continue routine monitoring.""]"
5132,2026-07-19 03:35:00,Zone C,4.15,62.05,21.5,91.05,0,0,0,24.16,Safe,24.16,50,4+ Hours,[],"[""No immediate mitigation required. Continue routine monitoring.""]"
5133,2026-07-19 03:40:00,Zone C,76.62,56.84,68.3,35.73,1,0,0,66.51,Gas Ignition,95.0,85,16 Minutes,"[""High Gas Levels"", ""Active Hot Work Permit""]","[""Automated trip of active hot work power lines"", ""Evacuation of non-essential personnel from Zone""]"
5134,2026-07-19 03:45:00,Zone C,75.16,17.16,63.43,70.04,1,0,0,46.43,Gas Ignition,86.43,85,26 Minutes,"[""High Gas Levels"", ""Active Hot Work Permit""]","[""Automated trip of active hot work power lines"", ""Evacuation of non-essential personnel from Zone""]"
5135,2026-07-19 03:50:00,Zone A,43.09,32.48,55.44,64.85,1,0,0,41.54,Safe,46.54,50,3 Hours 46 Minutes,"[""Active Hot Work Permit""]","[""Automated trip of active hot work power lines""]"
5136,2026-07-19 03:55:00,Zone C,3.88,31.5,42.28,81.67,0,0,0,24.0,Safe,24.0,50,4+ Hours,[],"[""No immediate mitigation required. Continue routine monitoring.""]"
5137,2026-07-19 04:00:00,Zone C,71.04,40.34,49.11,65.21,0,0,0,48.82,Gas Ignition,83.82,65,34 Minutes,"[""High Gas Levels""]","[""Evacuation of non-essential personnel from Zone""]"
5138,2026-07-19 04:05:00,Zone C,11.62,10.33,50.04,92.42,0,0,0,19.89,Safe,19.89,50,4+ Hours,[],"[""No immediate mitigation required. Continue routine monitoring.""]"
5139,2026-07-19 04:10:00,Zone C,6.69,73.55,53.01,87.26,0,0,1,36.5,Safe,41.5,50,3 Hours 8 Minutes,"[""Confined Space Entry Active""]","[""Trigger alarm lights outside confined space entryway""]"
5140,2026-07-19 04:15:00,Zone B,59.83,59.78,65.72,69.37,0,0,0,53.99,Safe,53.99,50,1 Hour 23 Minutes,[],"[""No immediate mitigation required. Continue routine monitoring.""]"
5141,2026-07-19 04:20:00,Zone A,69.88,62.16,55.35,96.2,1,0,0,47.8,Gas Ignition,87.8,75,26 Minutes,"[""Active Hot Work Permit""]","[""Automated trip of active hot work power lines""]"
5142,2026-07-19 04:25:00,Zone B,11.77,31.12,47.87,96.71,0,0,0,23.51,Safe,23.51,50,4+ Hours,[],"[""No immediate mitigation required. Continue routine monitoring.""]"
5143,2026-07-19 04:30:00,Zone B,4.04,51.62,31.81,95.45,1,0,0,23.01,Safe,28.01,50,4+ Hours,"[""Active Hot Work Permit""]","[""Automated trip of active hot work power lines""]"
5144,2026-07-19 04:35:00,Zone A,17.56,29.7,67.81,38.83,0,1,0,44.06,Safe,49.06,50,2 Hours 54 Minutes,"[""Active Maintenance Activity""]","[""Immediate suspension of active maintenance permits in Zone""]"
5145,2026-07-19 04:40:00,Zone B,7.89,60.28,62.01,86.11,0,0,0,36.02,Safe,36.02,50,3 Hours 19 Minutes,[],"[""No immediate mitigation required. Continue routine monitoring.""]"
5146,2026-07-19 04:45:00,Zone B,8.61,65.2,51.0,85.82,0,0,0,34.75,Safe,34.75,50,4 Hours,[],"[""No immediate mitigation required. Continue routine monitoring.""]"
5147,2026-07-19 04:50:00,Zone C,16.42,52.37,41.99,89.64,1,0,0,30.29,Safe,35.29,50,2 Hours 27 Minutes,"[""Active Hot Work Permit""]","[""Automated trip of active hot work power lines""]"
5148,2026-07-19 04:55:00,Zone C,71.82,24.16,41.0,93.56,1,0,0,35.86,Gas Ignition,75.86,75,43 Minutes,"[""High Gas Levels"", ""Active Hot Work Permit""]","[""Automated trip of active hot work power lines"", ""Evacuation of non-essential personnel from Zone""]"
5149,2026-07-19 05:00:00,Zone C,10.0,83.8,83.98,90.33,0,1,0,46.86,Explosion,96.86,90,12 Minutes,"[""High Temperature"", ""High Pressure"", ""Active Maintenance Activity""]","[""Emergency relief valve activation"", ""Immediate suspension of active maintenance permits in Zone"", ""Emergency cooling line engagement""]"
5150,2026-07-19 05:05:00,Zone B,6.2,22.1,44.2,72.15,1,1,0,25.09,Safe,35.09,60,3 Hours 8 Minutes,"[""Active Hot Work Permit"", ""Active Maintenance Activity""]","[""Immediate suspension of active maintenance permits in Zone"", ""Automated trip of active hot work power lines""]"
5151,2026-07-19 05:10:00,Zone A,87.65,18.78,62.85,18.2,0,0,1,62.77,Toxic Exposure,90.0,90,18 Minutes,"[""High Gas Levels"", ""Reduced Ventilation"", ""Confined Space Entry Active""]","[""Evacuation of non-essential personnel from Zone"", ""Increase ventilation systems to maximum output (100%)"", ""Trigger alarm lights outside confined space entryway"", ""Retrieve entry crew using harness recovery systems"", ""Deploy auxiliary ventilation blowers""]"
5152,2026-07-19 05:15:00,Zone B,11.41,68.16,38.5,67.25,0,0,0,37.7,Safe,37.7,50,2 Hours 47 Minutes,[],"[""No immediate mitigation required. Continue routine monitoring.""]"
5153,2026-07-19 05:20:00,Zone C,4.32,47.34,67.8,82.81,1,0,0,34.16,Safe,39.16,50,3 Hours 47 Minutes,"[""Active Hot Work Permit""]","[""Automated trip of active hot work power lines""]"
5154,2026-07-19 05:25:00,Zone A,29.47,30.47,46.73,61.45,0,0,0,36.3,Safe,36.3,50,3 Hours 26 Minutes,[],"[""No immediate mitigation required. Continue routine monitoring.""]"
5155,2026-07-19 05:30:00,Zone C,6.91,48.55,63.6,91.1,0,0,0,31.99,Safe,31.99,50,3 Hours 25 Minutes,[],"[""No immediate mitigation required. Continue routine monitoring.""]"
5156,2026-07-19 05:35:00,Zone B,23.75,73.7,80.34,81.61,0,1,1,49.05,Explosion,100.0,90,16 Minutes,"[""High Pressure"", ""Active Maintenance Activity"", ""Confined Space Entry Active""]","[""Emergency relief valve activation"", ""Immediate suspension of active maintenance permits in Zone"", ""Trigger alarm lights outside confined space entryway""]"
5157,2026-07-19 05:40:00,Zone A,73.54,31.42,34.56,56.35,0,0,0,45.79,Gas Ignition,80.79,65,37 Minutes,"[""High Gas Levels""]","[""Evacuation of non-essential personnel from Zone""]"
5158,2026-07-19 05:45:00,Zone B,21.13,33.05,41.92,61.04,0,0,0,33.76,Safe,33.76,50,2 Hours 39 Minutes,[],"[""No immediate mitigation required. Continue routine monitoring.""]"
5159,2026-07-19 05:50:00,Zone C,79.34,50.46,80.66,84.06,1,0,1,56.6,Gas Ignition,95.0,90,15 Minutes,"[""High Gas Levels"", ""High Pressure"", ""Active Hot Work Permit"", ""Confined Space Entry Active""]","[""Emergency relief valve activation"", ""Automated trip of active hot work power lines"", ""Evacuation of non-essential personnel from Zone"", ""Trigger alarm lights outside confined space entryway"", ""Retrieve entry crew using harness recovery systems"", ""Deploy auxiliary ventilation blowers""]"
5160,2026-07-19 05:55:00,Zone C,73.46,30.99,50.64,80.07,0,0,0,43.76,Gas Ignition,78.76,65,53 Minutes,"[""High Gas Levels""]","[""Evacuation of non-essential personnel from Zone""]"
5161,2026-07-19 06:00:00,Zone A,75.53,44.44,35.65,92.51,1,0,0,40.78,Gas Ignition,80.78,75,46 Minutes,"[""High Gas Levels"", ""Active Hot Work Permit""]","[""Automated trip of active hot work power lines"", ""Evacuation of non-essential personnel from Zone""]"
5162,2026-07-19 06:05:00,Zone B,29.23,33.71,61.06,52.35,1,0,0,42.91,Safe,47.91,50,3 Hours 50 Minutes,"[""Active Hot Work Permit""]","[""Automated trip of active hot work power lines""]"
5163,2026-07-19 06:10:00,Zone C,9.97,18.14,66.39,67.57,0,0,0,31.73,Safe,31.73,50,2 Hours 52 Minutes,[],"[""No immediate mitigation required. Continue routine monitoring.""]"
5164,2026-07-19 06:15:00,Zone A,72.28,46.67,51.25,82.65,1,0,0,46.89,Gas Ignition,86.89,85,23 Minutes,"[""High Gas Levels"", ""Active Hot Work Permit""]","[""Automated trip of active hot work power lines"", ""Evacuation of non-essential personnel from Zone""]"
5165,2026-07-19 06:20:00,Zone C,14.37,73.2,49.23,90.18,1,0,0,36.66,Safe,41.66,50,2 Hours,"[""Active Hot Work Permit""]","[""Automated trip of active hot work power lines""]"
5166,2026-07-19 06:25:00,Zone A,77.57,45.21,50.09,57.53,1,0,0,53.84,Gas Ignition,93.84,85,13 Minutes,"[""High Gas Levels"", ""Active Hot Work Permit""]","[""Automated trip of active hot work power lines"", ""Evacuation of non-essential personnel from Zone""]"
5167,2026-07-19 06:30:00,Zone A,5.09,35.45,53.82,82.08,0,0,0,28.07,Safe,28.07,50,4+ Hours,[],"[""No immediate mitigation required. Continue routine monitoring.""]"
5168,2026-07-19 06:35:00,Zone C,41.78,44.99,80.35,65.47,1,0,0,50.41,Safe,55.41,60,1 Hour 31 Minutes,"[""High Pressure"", ""Active Hot Work Permit""]","[""Emergency relief valve activation"", ""Automated trip of active hot work power lines""]"
5169,2026-07-19 06:40:00,Zone B,6.13,81.99,80.79,69.43,0,1,0,49.87,Explosion,99.87,90,27 Minutes,"[""High Temperature"", ""High Pressure"", ""Active Maintenance Activity""]","[""Emergency relief valve activation"", ""Immediate suspension of active maintenance permits in Zone"", ""Emergency cooling line engagement""]"
5170,2026-07-19 06:45:00,Zone C,4.43,38.97,79.86,50.4,1,0,0,43.22,Safe,48.22,50,2 Hours 35 Minutes,"[""Active Hot Work Permit""]","[""Automated trip of active hot work power lines""]"
5171,2026-07-19 06:50:00,Zone C,74.23,48.59,48.78,97.73,0,0,1,43.47,Gas Ignition,83.47,75,59 Minutes,"[""High Gas Levels"", ""Confined Space Entry Active""]","[""Evacuation of non-essential personnel from Zone"", ""Trigger alarm lights outside confined space entryway"", ""Retrieve entry crew using harness recovery systems"", ""Deploy auxiliary ventilation blowers""]"
5172,2026-07-19 06:55:00,Zone A,17.52,65.16,30.23,59.65,0,0,0,38.32,Safe,38.32,50,2 Hours 43 Minutes,[],"[""No immediate mitigation required. Continue routine monitoring.""]"
5173,2026-07-19 07:00:00,Zone C,76.13,52.38,43.19,90.08,0,0,0,45.4,Gas Ignition,80.4,65,53 Minutes,"[""High Gas Levels""]","[""Evacuation of non-essential personnel from Zone""]"
5174,2026-07-19 07:05:00,Zone A,11.34,51.1,54.15,48.51,1,0,0,42.02,Safe,47.02,50,3 Hours 25 Minutes,"[""Active Hot Work Permit""]","[""Automated trip of active hot work power lines""]"
5175,2026-07-19 07:10:00,Zone A,74.16,49.97,24.31,91.2,1,0,0,39.31,Gas Ignition,79.31,75,48 Minutes,"[""High Gas Levels"", ""Active Hot Work Permit""]","[""Automated trip of active hot work power lines"", ""Evacuation of non-essential personnel from Zone""]"
5176,2026-07-19 07:15:00,Zone A,27.06,33.99,48.02,62.91,0,0,0,36.54,Safe,36.54,50,3 Hours 47 Minutes,[],"[""No immediate mitigation required. Continue routine monitoring.""]"
5177,2026-07-19 07:20:00,Zone A,16.86,47.46,48.85,82.26,0,0,0,32.73,Safe,32.73,50,2 Hours 19 Minutes,[],"[""No immediate mitigation required. Continue routine monitoring.""]"
5178,2026-07-19 07:25:00,Zone A,64.19,34.9,56.2,78.65,1,0,0,44.16,Gas Ignition,84.16,65,38 Minutes,"[""Active Hot Work Permit""]","[""Automated trip of active hot work power lines""]"
5179,2026-07-19 07:30:00,Zone B,4.49,42.09,37.13,86.34,0,1,0,24.34,Safe,29.34,50,4+ Hours,"[""Active Maintenance Activity""]","[""Immediate suspension of active maintenance permits in Zone""]"
5180,2026-07-19 07:35:00,Zone B,9.99,38.48,59.83,83.55,0,0,1,31.19,Safe,36.19,50,3 Hours 19 Minutes,"[""Confined Space Entry Active""]","[""Trigger alarm lights outside confined space entryway""]"
5181,2026-07-19 07:40:00,Zone B,7.22,11.78,55.67,95.36,0,0,0,19.83,Safe,19.83,50,4+ Hours,[],"[""No immediate mitigation required. Continue routine monitoring.""]"
5182,2026-07-19 07:45:00,Zone A,7.93,50.14,39.99,81.19,0,0,0,29.22,Safe,29.22,50,4+ Hours,[],"[""No immediate mitigation required. Continue routine monitoring.""]"
5183,2026-07-19 07:50:00,Zone A,6.26,18.13,57.64,67.57,0,0,0,28.62,Safe,28.62,50,4+ Hours,[],"[""No immediate mitigation required. Continue routine monitoring.""]"
5184,2026-07-19 07:55:00,Zone A,93.77,25.82,42.69,68.6,1,0,0,48.42,Gas Ignition,88.42,85,15 Minutes,"[""High Gas Levels"", ""Active Hot Work Permit""]","[""Automated trip of active hot work power lines"", ""Evacuation of non-essential personnel from Zone""]"
5185,2026-07-19 08:00:00,Zone A,5.11,54.53,46.98,73.94,0,0,0,33.17,Safe,33.17,50,2 Hours 48 Minutes,[],"[""No immediate mitigation required. Continue routine monitoring.""]"
5186,2026-07-19 08:05:00,Zone C,71.41,41.32,72.76,84.97,1,0,0,50.13,Gas Ignition,90.13,85,11 Minutes,"[""High Gas Levels"", ""Active Hot Work Permit""]","[""Automated trip of active hot work power lines"", ""Evacuation of non-essential personnel from Zone""]"
5187,2026-07-19 08:10:00,Zone C,9.02,89.2,73.95,87.51,1,1,1,46.17,Explosion,100.0,90,23 Minutes,"[""High Temperature"", ""Active Hot Work Permit"", ""Active Maintenance Activity"", ""Confined Space Entry Active""]","[""Immediate suspension of active maintenance permits in Zone"", ""Emergency cooling line engagement"", ""Automated trip of active hot work power lines"", ""Trigger alarm lights outside confined space entryway""]"
5188,2026-07-19 08:15:00,Zone A,6.44,61.15,73.93,81.92,0,0,0,39.9,Safe,39.9,50,3 Hours 10 Minutes,[],"[""No immediate mitigation required. Continue routine monitoring.""]"
5189,2026-07-19 08:20:00,Zone A,5.52,32.51,37.76,76.34,0,0,0,24.86,Safe,24.86,50,4+ Hours,[],"[""No immediate mitigation required. Continue routine monitoring.""]"
5190,2026-07-19 08:25:00,Zone A,67.95,37.51,51.76,29.28,0,0,1,56.98,Toxic Exposure,90.0,90,15 Minutes,"[""High Gas Levels"", ""Reduced Ventilation"", ""Confined Space Entry Active""]","[""Evacuation of non-essential personnel from Zone"", ""Increase ventilation systems to maximum output (100%)"", ""Trigger alarm lights outside confined space entryway"", ""Retrieve entry crew using harness recovery systems"", ""Deploy auxiliary ventilation blowers""]"
5191,2026-07-19 08:30:00,Zone C,15.84,46.0,51.9,79.0,0,0,0,33.69,Safe,33.69,50,2 Hours 46 Minutes,[],"[""No immediate mitigation required. Continue routine monitoring.""]"
5192,2026-07-19 08:35:00,Zone C,3.41,56.96,59.26,85.22,0,0,0,33.6,Safe,33.6,50,3 Hours 54 Minutes,[],"[""No immediate mitigation required. Continue routine monitoring.""]"
5193,2026-07-19 08:40:00,Zone C,7.14,73.4,92.94,86.47,0,1,0,46.75,Explosion,96.75,85,10 Minutes,"[""High Pressure"", ""Active Maintenance Activity""]","[""Emergency relief valve activation"", ""Immediate suspension of active maintenance permits in Zone""]"
5194,2026-07-19 08:45:00,Zone A,75.37,56.47,26.42,79.18,1,0,0,44.77,Gas Ignition,84.77,75,55 Minutes,"[""High Gas Levels"", ""Active Hot Work Permit""]","[""Automated trip of active hot work power lines"", ""Evacuation of non-essential personnel from Zone""]"
5195,2026-07-19 08:50:00,Zone B,13.02,68.23,56.63,36.56,0,0,0,50.33,Safe,50.33,50,20 Minutes,[],"[""No immediate mitigation required. Continue routine monitoring.""]"
5196,2026-07-19 08:55:00,Zone A,87.66,53.65,33.76,26.88,0,0,1,62.05,Toxic Exposure,90.0,90,10 Minutes,"[""High Gas Levels"", ""Reduced Ventilation"", ""Confined Space Entry Active""]","[""Evacuation of non-essential personnel from Zone"", ""Increase ventilation systems to maximum output (100%)"", ""Trigger alarm lights outside confined space entryway"", ""Retrieve entry crew using harness recovery systems"", ""Deploy auxiliary ventilation blowers""]"
5197,2026-07-19 09:00:00,Zone C,4.99,56.59,55.53,67.38,0,0,0,37.43,Safe,37.43,50,4 Hours,[],"[""No immediate mitigation required. Continue routine monitoring.""]"
5198,2026-07-19 09:05:00,Zone B,10.6,40.58,52.17,96.14,0,0,0,26.8,Safe,26.8,50,4+ Hours,[],"[""No immediate mitigation required. Continue routine monitoring.""]"
5199,2026-07-19 09:10:00,Zone B,19.56,61.12,38.73,75.49,1,0,0,35.98,Safe,40.98,50,3 Hours 54 Minutes,"[""Active Hot Work Permit""]","[""Automated trip of active hot work power lines""]"
5200,2026-07-19 09:15:00,Zone B,14.0,57.26,42.13,61.45,0,0,0,37.98,Safe,37.98,50,2 Hours 35 Minutes,[],"[""No immediate mitigation required. Continue routine monitoring.""]"
5201,2026-07-19 09:20:00,Zone C,22.24,64.35,60.99,95.23,1,1,0,38.09,Safe,48.09,60,2 Hours 42 Minutes,"[""Active Hot Work Permit"", ""Active Maintenance Activity""]","[""Immediate suspension of active maintenance permits in Zone"", ""Automated trip of active hot work power lines""]"
5202,2026-07-19 09:25:00,Zone C,2.27,55.48,79.07,55.47,0,0,0,45.34,Safe,45.34,50,2 Hours 39 Minutes,[],"[""No immediate mitigation required. Continue routine monitoring.""]"
5203,2026-07-19 09:30:00,Zone B,25.58,57.29,46.84,89.42,0,0,0,35.07,Safe,35.07,50,2 Hours 5 Minutes,[],"[""No immediate mitigation required. Continue routine monitoring.""]"
5204,2026-07-19 09:35:00,Zone B,2.44,32.18,39.11,91.1,0,0,0,20.66,Safe,20.66,50,4+ Hours,[],"[""No immediate mitigation required. Continue routine monitoring.""]"
5205,2026-07-19 09:40:00,Zone B,28.53,81.86,12.86,80.96,0,0,0,35.57,Safe,35.57,50,3 Hours 2 Minutes,"[""High Temperature""]","[""Emergency cooling line engagement""]"
5206,2026-07-19 09:45:00,Zone A,7.63,34.49,58.19,83.71,0,1,0,29.15,Safe,34.15,50,3 Hours 3 Minutes,"[""Active Maintenance Activity""]","[""Immediate suspension of active maintenance permits in Zone""]"
5207,2026-07-19 09:50:00,Zone A,10.04,33.9,55.7,87.12,0,0,0,28.13,Safe,28.13,50,4+ Hours,[],"[""No immediate mitigation required. Continue routine monitoring.""]"
5208,2026-07-19 09:55:00,Zone B,4.25,49.97,58.7,80.52,0,0,0,33.1,Safe,33.1,50,2 Hours 36 Minutes,[],"[""No immediate mitigation required. Continue routine monitoring.""]"
5209,2026-07-19 10:00:00,Zone B,88.98,37.16,66.04,29.67,0,0,1,65.63,Toxic Exposure,90.0,90,18 Minutes,"[""High Gas Levels"", ""Reduced Ventilation"", ""Confined Space Entry Active""]","[""Evacuation of non-essential personnel from Zone"", ""Increase ventilation systems to maximum output (100%)"", ""Trigger alarm lights outside confined space entryway"", ""Retrieve entry crew using harness recovery systems"", ""Deploy auxiliary ventilation blowers""]"
5210,2026-07-19 10:05:00,Zone B,2.61,82.25,95.62,87.06,0,1,0,48.36,Explosion,98.36,90,27 Minutes,"[""High Temperature"", ""High Pressure"", ""Active Maintenance Activity""]","[""Emergency relief valve activation"", ""Immediate suspension of active maintenance permits in Zone"", ""Emergency cooling line engagement""]"
5211,2026-07-19 10:10:00,Zone A,88.87,50.06,48.57,75.97,1,0,0,52.88,Gas Ignition,92.88,85,22 Minutes,"[""High Gas Levels"", ""Active Hot Work Permit""]","[""Automated trip of active hot work power lines"", ""Evacuation of non-essential personnel from Zone""]"
5212,2026-07-19 10:15:00,Zone C,24.98,57.45,70.62,74.94,0,0,0,44.53,Safe,44.53,50,3 Hours 36 Minutes,[],"[""No immediate mitigation required. Continue routine monitoring.""]"
5213,2026-07-19 10:20:00,Zone A,32.42,36.59,48.92,97.91,0,0,0,30.01,Safe,30.01,50,10 Minutes,[],"[""No immediate mitigation required. Continue routine monitoring.""]"
5214,2026-07-19 10:25:00,Zone A,73.15,46.72,76.69,41.25,1,0,0,63.83,Gas Ignition,95.0,85,17 Minutes,"[""High Gas Levels"", ""Active Hot Work Permit""]","[""Automated trip of active hot work power lines"", ""Evacuation of non-essential personnel from Zone""]"
5215,2026-07-19 10:30:00,Zone B,7.03,17.03,80.09,83.74,0,0,0,30.1,Safe,30.1,50,25 Minutes,"[""High Pressure""]","[""Emergency relief valve activation""]"
5216,2026-07-19 10:35:00,Zone A,19.13,35.85,31.87,80.98,0,1,0,26.47,Safe,31.47,50,2 Hours 8 Minutes,"[""Active Maintenance Activity""]","[""Immediate suspension of active maintenance permits in Zone""]"
5217,2026-07-19 10:40:00,Zone C,77.93,52.47,51.63,84.16,1,0,0,49.47,Gas Ignition,89.47,85,27 Minutes,"[""High Gas Levels"", ""Active Hot Work Permit""]","[""Automated trip of active hot work power lines"", ""Evacuation of non-essential personnel from Zone""]"
5218,2026-07-19 10:45:00,Zone B,28.78,27.13,32.55,84.82,0,0,0,25.91,Safe,25.91,50,4+ Hours,[],"[""No immediate mitigation required. Continue routine monitoring.""]"
